#Wavelength (Angstroms)	fnu ergs/s/cm^2/Hz
#redshifted
3015	2.97578408307742e-28
3016.5	2.9812921388757e-28
3018	2.9868067338808e-28
3019.5	2.99232787187056e-28
3021	2.99785555662282e-28
3022.5	3.00338979191543e-28
3024	3.00893058152621e-28
3025.5	3.01447792923302e-28
3027	3.02003183881368e-28
3028.5	3.02559231404605e-28
3030	3.03115935870795e-28
3031.5	3.03673297657723e-28
3033	3.04231317143173e-28
3034.5	3.04789994704928e-28
3036	3.05349330720774e-28
3037.5	3.05909325568493e-28
3039	3.06469979625869e-28
3040.5	3.07031293270687e-28
3042	3.07593266880731e-28
3043.5	3.08155900833784e-28
3045	3.0871919550763e-28
3046.5	3.04395723128936e-28
3048	3.00063284198325e-28
3049.5	2.95721871984527e-28
3051	2.91371479756272e-28
3052.5	2.87012100782291e-28
3054	2.82643728331314e-28
3055.5	2.78266355672071e-28
3057	2.73879976073294e-28
3058.5	2.69484582803711e-28
3060	2.65080169132054e-28
3061.5	2.60666728327053e-28
3063	2.56244253657438e-28
3064.5	2.5181273839194e-28
3066	2.47372175799288e-28
3067.5	2.42922559148214e-28
3069	2.38463881707447e-28
3070.5	2.33996136745718e-28
3072	2.29519317531758e-28
3073.5	2.25033417334296e-28
3075	2.20538429422063e-28
3076.5	2.23341326039686e-28
3078	2.2614937552251e-28
3079.5	2.28962581561424e-28
3081	2.31780947847321e-28
3082.5	2.34604478071092e-28
3084	2.37433175923629e-28
3085.5	2.40267045095824e-28
3087	2.43106089278567e-28
3088.5	2.45950312162751e-28
3090	2.48799717439267e-28
3091.5	2.51654308799006e-28
3093	2.54514089932861e-28
3094.5	2.57379064531723e-28
3096	2.60249236286483e-28
3097.5	2.63124608888033e-28
3099	2.66005186027264e-28
3100.5	2.68890971395068e-28
3102	2.71781968682338e-28
3103.5	2.74678181579963e-28
3105	2.77579613778836e-28
3106.5	2.8260606934157e-28
3108	2.8764184683051e-28
3109.5	2.92686952901965e-28
3111	2.97741394212246e-28
3112.5	3.02805177417663e-28
3114	3.07878309174526e-28
3115.5	3.12960796139146e-28
3117	3.18052644967833e-28
3118.5	3.23153862316897e-28
3120	3.28264454842648e-28
3121.5	3.33384429201397e-28
3123	3.38513792049452e-28
3124.5	3.43652550043127e-28
3126	3.48800709838728e-28
3127.5	3.5395827809257e-28
3129	3.59125261460961e-28
3130.5	3.64301666600207e-28
3132	3.69487500166626e-28
3133.5	3.74682768816521e-28
3135	3.79887479206209e-28
